Age,Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income,Default
47,87576,17941,415,8,0.5515374501793567,1
23,113027,20993,364,2,0.41339477042329775,1
41,49188,19620,728,5,0.5882765027978317,1
49,117615,25193,609,5,0.22283488786389052,0
28,83830,26248,729,16,0.5619791891193978,0
29,29019,10027,460,12,0.27852788232402714,0
56,37419,9260,605,12,0.4109837311501895,0
35,58697,42596,660,6,0.18725410672362017,0
38,109932,46540,577,8,0.47989256006941217,0
57,144712,14012,595,24,0.5891252170183252,0
61,129568,30823,468,24,0.4937130581960598,1
25,120428,13315,758,17,0.40789837124680206,0
23,32973,17631,306,0,0.324106987706535,1
27,133001,23258,431,21,0.27261815390337696,0
63,111649,30099,646,21,0.30950630825925807,0
25,147649,40891,552,19,0.2641441563825012,0
50,36136,41992,709,12,0.5163549335024794,0
39,109739,36376,842,7,0.5465555616137491,0
47,87502,15977,654,20,0.5748288428548693,0
55,56285,31694,667,22,0.3091811609539251,0
31,48039,38978,810,8,0.37310960171754615,0
57,91720,14218,832,28,0.3884477105212445,0
35,148168,26788,827,0,0.4255440886891694,1
52,113263,25501,827,8,0.10122817044593649,0
36,84155,17453,701,28,0.5213448357168343,0
29,41911,43197,474,28,0.23407032701623207,0
35,25916,20210,377,19,0.3360820343731413,0
44,84052,13689,739,22,0.520784128522592,0
61,94110,32381,848,10,0.5984280734753449,0
42,126623,34508,531,19,0.49744175239275956,1
37,42790,47653,699,3,0.11241661864298827,0
39,108161,26142,512,28,0.28437708539045303,0
45,30206,45950,492,15,0.22360531806650244,0
47,146937,13916,566,13,0.5820658664527196,0
46,110053,5375,425,19,0.23211445823881702,0
62,74950,36449,681,21,0.5716750951697216,0
50,141211,28797,843,20,0.5687587567509503,0
36,81361,25782,801,17,0.5197051564626552,0
22,86451,32028,702,24,0.14903588334912035,0
46,62696,25243,560,26,0.10099761400324228,0
28,106641,34379,686,21,0.4969415421068568,0
30,126192,42780,711,25,0.521649528795633,0
45,93226,35740,645,21,0.581090846615807,0
22,127395,24984,393,8,0.20919130572638958,0
29,146970,5050,627,0,0.46657323396212447,1
45,149121,11590,399,22,0.3595322087155972,0
32,71728,45205,760,2,0.26424110259803735,0
38,80401,20162,614,19,0.4031455050295123,0
29,91226,18105,324,0,0.3740996967939828,0
56,50103,42499,793,2,0.24614719963900153,0
56,59263,41641,652,13,0.23423123106590085,0
54,101621,16628,416,29,0.3432901120736357,0
26,75044,47032,498,13,0.33701825424303966,0
63,82730,43516,578,22,0.2510263515839982,0
60,50825,26621,378,29,0.23186557902018437,0
62,101256,6476,723,21,0.577153704570485,0
49,129177,45800,653,12,0.5311852523726902,0
28,62271,40788,825,0,0.5083895527122668,1
30,102256,29437,840,14,0.2071418843385033,0
29,71732,31240,776,24,0.19464551749290057,0
33,91433,15922,309,19,0.5046645091490491,1
55,107630,13066,802,6,0.19233717384612395,0
54,126999,17089,559,15,0.3517679678775181,0
44,125990,37600,823,19,0.21071089338512664,0
45,48572,13167,305,22,0.289034891835076,1
58,63546,17816,334,20,0.5267271137047715,1
56,147456,26164,474,0,0.5457091716263133,1
61,40150,25429,741,14,0.5983396254408968,0
43,79165,40001,446,19,0.5719521400075408,0
48,88690,36415,492,14,0.4356253621928676,0
56,78664,13117,312,18,0.3158629970988207,0
22,107335,11359,829,5,0.12884618764597097,0
56,100199,19364,545,5,0.4040830567517397,1
58,61948,41965,413,0,0.20534033100202284,0
35,62030,33794,532,29,0.5250681419148031,0
24,52007,15293,621,29,0.3744494396748601,0
22,125819,14332,837,15,0.46675084144806855,0
26,116207,5615,425,26,0.436747517343513,0
47,115921,17401,612,17,0.2736655959156665,0
35,101772,46936,810,12,0.4795430251063121,0
60,47024,34372,783,11,0.5216876219345099,0
48,137408,47276,580,17,0.4720652181843221,0
30,64384,7339,582,27,0.4884033901621485,0
36,107912,21246,691,9,0.28000776983336584,0
36,149161,13109,822,13,0.5718439663741185,0
47,127674,28758,681,19,0.3122860591780381,0
63,43157,28091,515,28,0.5485251092732322,1
34,110481,48056,841,24,0.5289046949040078,0
53,127120,18317,415,10,0.1621654876892142,0
60,113553,21762,808,17,0.5831352797958088,0
53,26756,8465,799,26,0.5981708426916851,1
25,125677,30622,570,23,0.40307325836450036,0
51,93112,11800,739,26,0.4915550254299741,0
58,116003,40539,590,11,0.5668435187759082,0
44,127488,41651,338,16,0.11001219523481501,0
60,121741,7600,323,27,0.5649950121489907,0
36,83051,10518,342,23,0.413683068879554,1
64,125701,24627,469,2,0.5142282001846415,0
50,89595,34369,639,29,0.37036113650993663,0
57,103210,36445,468,20,0.3652730196967582,0
34,68094,21689,837,0,0.548759102872305,0
53,133850,20923,771,0,0.35373600324238774,0
28,112889,43469,442,5,0.3358946905603979,0
43,120385,35403,400,18,0.40409440421419573,0
49,29535,5958,774,23,0.35928499058117913,0
23,81035,45363,610,3,0.32314347806922616,0
63,147815,8538,359,21,0.19026191411389767,0
27,72367,28404,328,12,0.2987002435665673,0
49,132472,14983,830,25,0.24102285041717195,0
49,42118,40371,372,11,0.3002323632575852,1
41,84812,29642,693,24,0.39657914765649216,0
51,84884,18467,693,29,0.4044258685487053,0
32,91168,5205,780,7,0.21933073914635434,0
49,38280,32409,772,19,0.1422393233079828,0
46,39746,17442,612,25,0.47221884451708174,1
60,127572,31290,737,23,0.3642853463732142,0
54,78251,31108,623,6,0.32105067481849814,0
22,109821,10691,386,20,0.16479773440227127,0
48,108583,43909,658,6,0.3073318754734411,0
34,138625,24504,496,6,0.5090877083102747,1
62,35207,35162,684,13,0.3907178147322772,0
24,96127,44496,417,28,0.14548775636795722,0
60,52757,43798,797,25,0.2661375665636797,0
27,41226,26551,761,17,0.5899010129567932,1
29,120268,18383,795,22,0.3722537357010365,0
48,86407,21496,546,18,0.2431980397979512,0
30,52206,46716,533,23,0.5567223731009603,0
58,45256,14088,716,23,0.26800031700169424,0
54,58822,32444,766,24,0.4649536672495742,0
63,66340,29734,781,26,0.17361025285905982,0
45,136883,46745,664,19,0.17824655704947004,0
36,77234,39571,452,25,0.38065701016442777,0
53,68351,31415,571,18,0.21991165928751708,0
53,131311,20389,691,24,0.12466604326417383,0
45,73671,32744,846,24,0.5632327199878336,0
62,100320,23682,729,17,0.12799477430729164,0
33,127565,39310,488,5,0.4587189433478326,1
60,60157,12259,551,15,0.2664929113487299,0
23,44937,17546,694,2,0.5667524825551549,0
24,79290,7154,518,20,0.5930261945867135,1
58,71707,13766,489,1,0.26771532566553313,0
38,36219,16230,533,14,0.39555340980173104,0
23,34399,22765,531,19,0.4864923772854759,1
23,123848,10902,657,10,0.16170467499164268,0
49,52657,6222,777,18,0.45473115193645797,0
44,45047,32050,728,17,0.5530987422078304,1
58,125543,39269,536,21,0.18925127363601227,0
53,101095,14050,332,10,0.519355045664175,1
54,110693,8574,512,2,0.15780173633546848,0
22,125931,41497,678,3,0.38415084827113477,0
40,97154,16157,301,5,0.26968183463989936,0
23,69891,24575,749,11,0.3358579302864374,0
47,31780,45244,726,28,0.2503160923022335,0
53,52050,22945,578,27,0.23026968580673376,0
27,98551,19962,513,20,0.4715695949538683,1
53,93666,40290,584,3,0.2115566073805543,0
25,118619,40159,842,28,0.30420652208514287,0
32,107016,29852,573,29,0.23727853965841386,0
38,138135,35684,310,11,0.21931754205908585,0
59,78010,49842,346,3,0.41354805551036034,0
45,126012,16796,814,1,0.12271430812901127,0
26,63165,29450,737,11,0.4944493685018543,0
55,36528,39846,726,12,0.3731170319766941,0
27,145840,22504,731,25,0.5142186980536696,0
43,74608,35041,429,28,0.20650799169906406,0
32,30914,15715,321,15,0.4547030204202779,1
37,62136,26803,688,3,0.3102919207159105,0
54,36179,8370,434,27,0.1384019885828515,0
30,111008,6908,831,7,0.4762381961061659,0
27,37076,42075,519,4,0.48109361769972414,1
37,148911,26134,632,29,0.23545843294524235,0
50,49783,49065,429,13,0.5580230094790586,1
24,141625,8587,331,14,0.48198489838336245,1
41,71716,35023,724,29,0.25337868456169466,0
57,75298,7413,597,10,0.21955447120270435,0
40,79304,30038,803,9,0.32004477785691465,0
47,104360,27555,656,9,0.24639490738895567,0
24,94835,15952,754,23,0.2085115269572537,0
40,137424,8457,700,5,0.2995503786126197,0
41,33118,13464,754,15,0.1128521114131745,0
53,101292,6150,333,27,0.3007055353406909,0
28,148322,37264,547,25,0.21083131410865083,0
62,81911,45222,341,20,0.23216709348799222,0
54,98489,49349,422,3,0.1412766431161032,0
61,128088,37786,326,25,0.39446584181781086,0
60,40185,14808,761,8,0.3360046137863181,0
39,66792,43345,446,9,0.47531368894488946,0
61,105210,9081,795,29,0.5935493125896737,0
22,75613,44222,785,4,0.15976700423939458,0
32,135012,13933,759,9,0.23621254447671278,0
49,58927,7671,427,15,0.44122706402245204,0
46,25386,48739,675,10,0.21865600455072545,0
44,117153,36217,382,5,0.11507375775820114,0
52,97728,44155,834,6,0.15490331197398274,0
51,101281,44601,822,26,0.31681346372924013,0
63,55020,24008,402,11,0.31539232606134693,0
56,67678,26883,818,26,0.5861523453134456,0
28,111695,38282,661,12,0.33297501694888376,0
37,86394,37974,555,16,0.43903385373424664,0
47,93945,38715,546,8,0.346100500856672,0
23,140377,48401,491,27,0.2349592494564133,0
22,146716,20380,834,7,0.15272553255730006,0
33,81414,23212,613,27,0.5295370080449484,0
26,79816,33174,575,26,0.1763313472176126,0
58,80918,11861,672,15,0.14844680796143286,0
53,116281,11094,743,20,0.2069143055145203,0
30,136484,44113,494,2,0.10124431961747019,0
62,140640,29363,557,4,0.13598257491249646,0
56,87694,27310,659,20,0.4175983842170524,0
40,54455,44300,847,24,0.22177380342894756,0
37,129446,10943,407,22,0.26925604782096046,0
24,63735,19569,323,12,0.5176498774248465,1
41,119702,47616,764,17,0.4864497914694407,0
45,130509,13793,321,20,0.34612405051868145,0
54,118608,43207,801,15,0.4064883291302137,0
45,139310,30287,800,24,0.14290563922011065,0
32,37109,38971,706,13,0.480797350740679,0
29,70802,47351,629,10,0.358095733347626,0
57,93020,36369,585,28,0.38547455097131367,0
59,59622,28023,446,17,0.43276348271817056,0
61,134935,28897,683,7,0.35008764955135685,0
41,142919,28010,310,11,0.36084631509512877,0
56,27597,45154,575,18,0.3498177934114388,0
46,65597,40899,602,19,0.34840873907178516,0
56,65954,25114,503,1,0.47510265035416155,1
46,94519,24050,644,8,0.31360426359040006,0
50,81115,26125,565,21,0.10144665924836857,0
39,129988,33558,321,8,0.4060315880609411,0
39,68151,49846,835,13,0.5763312374631417,0
23,42040,25396,395,14,0.22847991539578247,0
56,69772,32125,744,10,0.5080966655860832,0
37,147431,27580,562,28,0.32774510414154,0
62,121090,43973,682,12,0.42149103495403006,0
57,88832,28574,849,23,0.5454368655636926,0
54,52916,29619,691,27,0.4855068063991368,0
25,69871,18869,839,24,0.542286694220904,0
54,146527,5658,391,4,0.10475998943809053,0
35,51372,17122,458,5,0.19365749232167553,0
42,86707,48827,527,22,0.31174720628290453,0
41,64080,18335,772,4,0.5239208987265516,0
29,131242,26677,671,0,0.5191959660867634,0
28,67722,33223,675,24,0.19257016598697377,0
24,145864,34814,336,17,0.1711212165478607,0
38,54048,23075,336,22,0.5173512175982662,1
54,110205,48185,400,27,0.3707171470153773,0
33,34777,16258,842,23,0.41338487793478795,1
43,79711,35527,489,7,0.50460303733279,1
43,61331,15139,811,16,0.20587323179358089,0
51,45968,47325,389,25,0.16824239995237003,1
59,78969,45503,305,22,0.5295221313920779,1
59,128345,24514,438,24,0.15588705295810165,0
29,36292,25917,394,10,0.1440904253480382,1
48,145870,34097,685,29,0.23853758780835513,0
48,65794,22788,422,29,0.25842443010037175,0
55,104459,30061,584,10,0.2205676770256008,0
42,142932,14947,665,2,0.4708116362501078,0
51,75192,20544,789,7,0.5866770563964948,0
54,52703,25014,624,7,0.19979567136231716,0
49,109193,19795,706,24,0.4909260947660733,0
54,94165,37632,818,23,0.12212110513405841,0
26,92650,24352,376,20,0.15945133020941052,0
40,81516,28653,533,20,0.35755870848948124,0
25,124981,6579,783,2,0.5998044347461127,0
56,126398,36758,763,27,0.5746828248906823,0
38,116110,48755,570,21,0.15597147008629994,0
49,122885,43760,766,9,0.21984345802294722,0
51,47257,37818,768,18,0.5728959248619808,0
50,125588,11452,846,13,0.17536195301782212,0
27,128356,42921,569,17,0.4713944876138326,0
56,146750,20340,677,22,0.10055401170384262,0
62,108509,7787,476,25,0.4158560513375862,1
58,116273,20839,573,2,0.34730021092136143,0
45,76672,7155,326,28,0.33551263985838253,0
50,88308,12019,359,19,0.5145958753766974,0
52,102583,25614,516,13,0.14036717262396567,0
56,144336,31190,569,10,0.28866607195504923,0
54,47113,45375,415,9,0.3230192724866495,0
42,25694,15928,544,23,0.16196327982860834,0
53,147495,13598,384,13,0.14283327318716796,0
44,40588,49339,749,0,0.18980715227866776,0
54,86756,25581,835,15,0.2205238624899021,0
24,89085,49655,388,24,0.583030288728601,0
39,136359,18919,848,29,0.33780685562584134,0
46,139384,43180,806,5,0.35514451633626276,0
63,86142,9499,707,17,0.45349910248036795,0
52,89373,42677,570,15,0.44213339890179526,0
24,110603,48862,823,18,0.3513887010564829,0
61,31704,30602,793,15,0.26991919709225465,0
45,65136,34692,747,4,0.2655258467937198,0
53,92507,45422,842,26,0.1288553669447556,0
43,72361,26760,649,11,0.5498150696362127,0
44,83847,7920,627,5,0.48469726186337836,0
23,131359,29085,585,24,0.41167162065074714,0
48,36441,27925,334,1,0.2980408716071121,0
63,122012,10615,832,15,0.39123286532543866,0
23,143906,42083,787,20,0.3425449024842998,0
47,39677,7783,786,22,0.23696748923944203,0
38,52818,14605,444,10,0.24928637335401718,0
61,26868,49608,823,11,0.5372398532280276,0
54,108591,24192,445,10,0.4174540362379515,1
30,148962,8331,802,22,0.10071124237106435,0
64,92264,36856,826,19,0.263435882553154,0
60,98168,7846,571,18,0.26997273236267694,0
50,37043,38697,833,28,0.453167779725808,1
63,96939,42586,394,7,0.4502266712405558,0
47,40732,40030,746,28,0.3320774265026045,0
56,80244,17775,714,17,0.5754897064056973,0
46,43526,12549,556,4,0.536114584867073,0
45,34340,27437,561,11,0.5331053573645107,0
34,129488,28958,386,9,0.27413275548581395,0
28,47394,29243,735,14,0.31549989457621486,0
57,123557,47177,407,4,0.30948096226416133,0
41,29102,47424,318,16,0.3201334412319986,0
22,126846,33984,664,22,0.5446053975054332,0
29,44159,41942,678,3,0.22456034978489994,0
37,147366,42538,459,25,0.5010975354796616,0
35,90092,10833,399,11,0.35701998752238673,0
33,31212,28386,564,17,0.22454209286664115,0
44,122360,39813,348,7,0.3636468894297771,0
36,62405,38805,714,19,0.19772081033702157,0
49,102061,11242,358,16,0.15408964875351747,0
55,119296,33704,482,7,0.5190887089160255,1
23,80186,47419,746,12,0.4496610117153299,0
53,69239,29832,600,26,0.20248949510693445,0
44,135804,17321,653,22,0.5711473651293245,0
43,117993,43930,512,2,0.11219918667062459,0
46,148145,37407,488,2,0.26664009352509066,0
43,138551,9073,646,6,0.11082651924576833,0
43,35532,22667,436,17,0.17114879664466662,1
63,104054,21035,329,20,0.1900396880817057,0
27,97012,11732,445,6,0.5051674338652838,0
36,142836,8487,767,21,0.5965198352666923,0
64,110279,39952,802,25,0.5336601373055276,0
58,91540,34425,490,22,0.417566494391019,1
54,133590,24571,770,1,0.46146171502871114,0
29,128021,34075,644,6,0.36141049701034256,0
26,28271,47185,300,1,0.31127180332399595,1
60,70482,10495,409,6,0.4460844654212196,1
25,25209,23681,363,13,0.5865583430046911,1
27,115999,19781,352,14,0.1144470211781585,0
53,30539,44865,561,15,0.25704247516201295,0
51,139841,13469,828,23,0.2650299015035602,0
56,44977,21202,601,25,0.3071254279100498,0
61,99142,24928,533,7,0.41344607345072437,0
37,134920,15985,372,15,0.35687658123985067,0
34,124588,44599,656,20,0.1093645245128956,0
63,93684,21775,783,6,0.30580478919268583,0
51,124072,5968,305,10,0.4097243522616516,0
40,148862,15382,436,23,0.3524123624652421,0
38,30607,10151,703,3,0.5360309320906571,1
40,110122,31804,505,17,0.2992978353340102,0
49,119786,48586,709,22,0.10627933991345576,0
47,76939,37259,335,12,0.2424492587772494,0
58,43594,25748,529,16,0.1678363134844941,0
47,83382,24691,526,11,0.22511516172641258,0
44,32399,37020,561,17,0.2810440090184375,0
30,146026,48560,430,9,0.43832782616057764,1
33,50117,32256,747,6,0.2620849976490899,0
22,123662,11125,485,11,0.5420545875319333,0
22,58617,9370,485,11,0.24978395469481615,0
55,32498,9838,573,25,0.1684667060707555,0
53,127826,8134,651,12,0.1844327087354615,0
46,142232,48199,712,0,0.5672899319409808,1
61,136077,16556,450,6,0.32740723564937924,0
22,141519,38822,683,15,0.30156303403125007,0
37,75624,32977,335,15,0.1344504405492631,0
60,34628,25113,625,20,0.4666605343909592,1
26,25329,35566,764,15,0.44732626288835,0
43,63619,7669,765,15,0.2878702747173789,0
50,32032,21081,394,13,0.4458817748419399,1
24,73094,17938,433,10,0.28372588025669065,0
33,63034,10717,461,18,0.13657901069712217,0
47,127658,17282,599,10,0.46904968865388796,0
37,146123,47065,655,1,0.582600646688853,0
58,147666,19201,539,6,0.42414526408704145,1
43,111158,21289,466,8,0.23823061760717776,0
50,80264,29406,439,8,0.23496014273245167,0
35,119120,36286,438,13,0.5644887982434504,1
49,72850,17873,534,25,0.2516451536988936,0
26,29722,21512,302,9,0.48409611669140906,1
51,42772,33927,555,15,0.4214574911520065,1
26,111105,28461,670,23,0.3963009056277851,0
33,66679,25710,577,17,0.19053744070104248,0
37,93771,24952,815,0,0.1172055229522623,0
47,29576,18448,511,23,0.3443385656639443,0
47,51707,20198,515,1,0.5940793036248925,1
42,124404,12622,569,19,0.19787995211671008,0
60,66632,45848,775,27,0.3684360272195618,0
57,66476,7402,827,3,0.43548964732227535,0
54,142220,41324,363,1,0.3418388582611941,0
51,55285,33467,759,3,0.353466903298597,0
58,49154,39961,315,22,0.430613752136797,1
44,45054,48007,318,5,0.5074527485024861,1
31,42165,25739,624,25,0.26664380674121513,0
26,39439,23518,392,21,0.5496376158088578,1
57,143211,31547,316,3,0.3424504364415132,0
55,69518,33936,787,17,0.43093873608733313,0
52,113051,25287,393,4,0.15325681704121932,0
31,51962,46351,309,10,0.346239643188908,0
40,78934,30476,827,12,0.10805322307867046,0
53,133085,17875,788,2,0.2955123694200198,0
22,62763,15686,443,18,0.12724210028447333,0
26,141189,22536,814,19,0.5484904188277893,0
25,135290,39062,769,10,0.4364025604365178,0
37,89094,30041,676,10,0.4959381781148823,0
45,135814,36653,793,20,0.3338397422347087,0
37,44464,26673,783,26,0.525948869222884,0
23,67036,15367,751,1,0.5365202949088452,1
49,148980,24629,835,21,0.27840911992101103,0
53,120949,28100,374,14,0.2884274541964664,0
48,58270,11654,339,21,0.35412035434370015,0
41,67299,30063,601,7,0.12112174752106084,0
45,110805,24322,361,1,0.597884148482233,1
33,56541,24010,802,7,0.2795906169966621,0
56,98545,17693,544,23,0.335421656678363,0
54,107543,14241,317,19,0.47737853906732564,0
54,116998,34778,697,22,0.24875675046268578,0
64,102078,41843,488,14,0.2008157117771807,0
58,107970,17651,403,15,0.16372506049087363,0
33,54765,30966,643,12,0.36400865454063835,0
24,48769,14275,670,22,0.10274914375137775,0
22,113001,6658,332,16,0.4547603455019147,0
54,112404,33963,673,13,0.33069475023455186,0
61,45156,11932,477,28,0.36591141282401474,1
31,110836,19248,311,13,0.23160232444617382,0
64,143706,29437,755,0,0.18912652749428124,0
50,75481,44727,548,23,0.4499948356237047,1
34,38435,23201,747,26,0.20513676681318202,0
33,94650,46150,303,0,0.4900429792087383,1
52,71336,29355,535,2,0.2018362597558707,0
23,61135,19999,472,21,0.4063415515273744,0
56,98631,11376,621,23,0.421936032032054,0
44,62909,8476,670,14,0.35282279551075024,0
38,94487,9366,847,4,0.5983953826369813,0
47,46468,30733,595,4,0.2879215056263813,0
29,117609,17458,699,3,0.5416605725777475,0
50,72655,37795,357,13,0.18461409616915533,0
47,59341,25615,829,19,0.26860543622690314,0
31,136663,16164,847,6,0.17268356044856883,0
47,89182,44316,707,21,0.4018122606753082,0
55,76786,8024,812,23,0.4191286500711735,0
62,93304,34559,363,14,0.3267519922565062,0
28,128606,6264,719,10,0.4600805248260038,0
25,71514,14047,445,13,0.5338262272539963,1
32,145938,49985,571,5,0.4882796550554729,0
50,58979,11587,316,26,0.22083117846228065,0
57,115887,11577,397,9,0.2601996275087394,0
46,105981,22635,751,6,0.2901382770228601,0
42,80107,8870,542,9,0.20188312976599995,0
57,139119,39094,778,13,0.28061811828570926,0
31,26160,14217,500,25,0.2190228384301576,0
58,112897,22602,772,4,0.5978639277293342,0
30,97577,5605,478,21,0.49162517019420315,0
45,109303,27343,807,0,0.5300085350055532,0
56,35846,18003,752,18,0.5610734484253304,1
56,129180,48257,569,27,0.43250049579916217,0
57,44924,37089,533,7,0.1879882837942823,1
39,136193,22661,785,18,0.4792630347377713,0
60,38882,21782,637,29,0.10780573331359264,0
53,105274,35029,747,16,0.15661521960532945,0
45,111555,18487,656,18,0.11479222915674889,0
44,26095,44042,348,27,0.16772255814056428,0
53,129205,27065,795,15,0.4760021198205723,0
58,65983,15844,645,3,0.5427402842660716,0
33,136215,24323,592,7,0.2394201402309142,0
34,39123,30397,449,24,0.15956359829254643,0
44,118668,22328,844,3,0.23647984432820532,0
46,91615,48739,559,12,0.4235568762215024,0
56,120193,43733,621,27,0.27510152013980405,0
62,70278,34715,376,6,0.5805730120664448,1
51,122911,44116,409,0,0.16548939821821038,0
38,115290,22580,846,8,0.5951712618972068,0
41,76999,5823,722,26,0.106225845723905,0
46,56153,31472,693,27,0.3258464828644907,0
43,43344,12084,534,3,0.22590588659030456,0
34,124777,17455,629,13,0.38314273456250714,0
40,62656,15607,624,29,0.14827541599053604,0
57,95515,21919,450,8,0.5379114375645145,0
33,26212,24394,845,29,0.16826320020564853,0
62,145385,15819,331,2,0.3936946662197257,0
40,34001,16969,571,14,0.11667343152727158,0
33,103784,22333,667,26,0.2554960485702049,0
30,123723,16700,791,28,0.17486145113837245,0
28,106144,36792,615,4,0.5889233228725169,0
49,61427,38311,667,0,0.10601068381520448,0
35,56368,41668,379,10,0.27619767025648045,0
52,95819,16945,471,18,0.2513880386681252,0
40,86160,41992,557,4,0.42868679579087654,0
37,50854,40634,578,21,0.12818898337352255,0
26,35715,23630,803,28,0.505308885838631,0
56,106701,46036,790,23,0.3332618983534078,0
33,83784,29944,636,16,0.3263862853806476,0
46,124644,28360,820,18,0.21339494019103442,0
42,51797,17813,625,16,0.34502338365157836,0
57,72573,9601,471,4,0.2819467276676785,0
44,101120,17930,383,23,0.22256821812613445,0
37,39780,9333,823,19,0.18433346921073016,0
60,62905,10399,780,28,0.46416778393675573,0
63,46573,22839,843,26,0.1710214866716531,0
60,141049,45204,717,8,0.18399099807044358,0
35,58359,25195,638,21,0.3885356736316461,0
52,91062,32848,619,5,0.2130387536611187,0
26,98391,28693,603,26,0.32968822842193635,0
56,68463,45854,571,20,0.37645867640322317,0
44,124596,41450,413,12,0.23721487849091552,0
50,141342,6854,706,25,0.2717771254347504,0
64,120018,36558,325,20,0.2051034135261727,0
32,41571,7985,536,10,0.3302122445811464,0
39,122276,48585,609,22,0.5961999546687017,0
33,44142,24278,532,23,0.28135595043414174,1
30,50104,45264,848,22,0.4266651896217696,0
31,33625,38326,564,0,0.4179472255096658,1
38,64199,24280,312,16,0.4932409164245706,1
59,145725,39022,795,25,0.45595921862521605,0
28,40926,20667,615,5,0.10588986698600852,0
34,56218,23065,683,2,0.25460854625183615,0
61,69472,26655,615,15,0.5351167389389603,0
63,116916,15006,555,12,0.3697751092885624,0
30,148182,11283,740,11,0.1521120430943285,0
48,45566,46622,414,24,0.23806844383706452,1
23,81125,8325,598,10,0.24169305764629087,0
26,58205,35783,423,22,0.5365886771955449,1
50,134084,8143,555,1,0.37670063553529376,0
58,54717,40805,346,27,0.40416181042269983,1
59,74984,17417,762,29,0.2835323453000208,0
40,132292,36300,649,18,0.1301551920121994,0
29,50135,31526,422,7,0.13762414149838928,0
22,53164,33896,330,12,0.3101912708138804,0
43,99489,42443,354,13,0.18874693920479782,0
38,63562,32606,452,14,0.15213127976719773,0
28,94110,44916,755,16,0.23112177241558965,0
46,45169,12551,585,14,0.4710231803003383,0
25,84858,40436,335,20,0.13650915219856471,0
57,46604,7246,555,9,0.324112954618923,0
27,114670,44421,477,0,0.5130435797820143,1
52,139605,48901,847,11,0.2339624075702644,0
40,113738,12649,553,8,0.25093710761520627,0
60,25684,46209,807,22,0.5421036393020016,1
48,127537,5888,320,4,0.4250017901318798,0
31,140265,46983,374,21,0.4988560475669068,1
47,136301,34424,759,26,0.24460210827191783,0
40,33007,46559,477,14,0.5983897621046799,1
60,139915,16075,681,2,0.17044818495498867,0
24,125632,27699,336,18,0.5809685438021427,1
34,142419,14950,419,6,0.5510495595758432,1
49,66787,10413,300,6,0.3759473245526045,0
41,74582,44305,610,6,0.3926482399785737,0
49,99791,8569,507,1,0.4875239392386398,1
29,122798,6242,453,1,0.25339105309603027,0
62,108629,42097,614,26,0.36373489102725787,0
60,30782,35085,606,11,0.5511878968647523,1
22,91770,15487,803,4,0.13412451861743055,0
24,82645,23309,819,3,0.5527643346786097,0
34,128509,35771,396,6,0.46438896964462373,0
49,124724,31638,789,15,0.4849224144697337,0
46,56996,41163,306,2,0.13235905151688301,0
54,54204,26615,311,20,0.19387833445248856,0
59,42152,13039,813,1,0.5626308996662042,1
27,80186,13198,648,16,0.16202572423656667,0
53,132900,39354,306,8,0.415591427789168,1
42,115555,8824,799,28,0.491346274846269,0
37,110024,28999,774,19,0.21564101225228974,0
42,127659,8436,823,7,0.4493951056423886,0
